Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,popularity_score
The Board Game Cafe,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Fast Food,  Chinese,  Continental",4.2,75,900,26.241295556463058
Icekraft,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Waffle",3.3,46,500,18.330143210536203
Apna Rasoi,"SD Road, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.9,114,600,26.69741119868306
Beijing Bites,"OM sri sai towers,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Chinese,  Thai",3.9,133,1100,27.55774784278531
House Of Dosas,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,South Indian,4.3,11,300,15.41533875310097
Waffle House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Fast Food,  Waffle,  Desserts",3.4,16,600,13.897373660251153
Black Pearl Multi Cuisine Restaurant,"Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",3.8,60,800,22.536801882738967
China Express,"Terminal Drive In,Sindhi Colony, Secunderabad", Secunderabad,Hyderabad,Chinese,2.0,1,400,2.0
Huber and Holly,"Park View Enclave,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Fast Food,  Desserts",4.3,106,1000,28.988308041524927
Ohri's Serengeti,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Mughlai",4.2,428,1500,36.72830211749809
Frozen Bottle,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Shakes,  Desserts",4.0,2,300,6.339850002884624
Eagles Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",3.8,90,600,24.729619632755046
Flechazo,"Sun Towers,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,Multi-Cuisine,4.1,2707,1300,46.752349296657485
Broadway,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",4.4,126,2600,30.75021262179753
Apsara Ice Creams,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Ice Cream,  Desserts",4.3,33,300,21.876090217376458
Barbeque Nation,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Barbecue,  North Indian",4.4,693,1400,41.53068415134435
Robo Kitchen,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Chinese,  Thai,  North Indian",3.4,442,1200,29.88995382108706
Ohri's Uppu,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  South Indian,  Andhra,  Chettinad,  Kerala",4.0,143,1600,28.67970000576925
The Dining Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Continental",4.2,85,3000,26.990311969748813
Rika,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,Asian,4.6,7,3400,13.799999999999999
United Kitchens of India,"The Purple Leaf Hotel,Karkhana, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Andhra,  Chettinad,  Bengali",4.2,213,1000,32.51416134288482
Indian Foodies Hub,"Kimtee Square,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Biryani",3.8,249,1100,30.26998028171593
Tatva,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  European,  Mughlai",4.4,357,1500,37.32878941996273
Almond House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Mithai,  Desserts",5.0,1,500,5.0
Ohri's Far East,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Chinese,  Seafood",3.8,240,1400,30.068979477673853
Medley,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Lebanese,  North Indian,  Italian,  Chinese,  Continental,  Mexican,  Desserts",4.3,156,1000,31.366869220233994
Southern Spice,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,South Indian,3.9,46,800,21.662896521542788
TiKi Shack - Rooftop Bar,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Continental,  Asian,  Fast Food",4.0,249,1500,31.863137138648348
Ohri's Eatmor,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"Continental,  Fast Food,  Italian,  Chinese,  Finger Food,  Street Food,  Desserts,  Ice Cream,  Shakes",3.8,189,1000,28.7654513116576
Bench Cafe & Restaurant,"Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Italian,  Chinese",3.9,39,500,20.755519570060713
Indulge Ice Cream,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Shakes",5.0,1,300,5.0
Stallion,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"Chinese,  Mughlai",4.2,18,1600,17.84129555646306
Almond House,"SD Road, Secunderabad", Secunderabad,Hyderabad,"Mithai,  Desserts",4.7,6,500,13.19456813367074
Ohri's - Sahib’s Barbeque,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Hyderabadi,  Awadhi",4.1,1501,1500,43.26594329980851
Ohri's - Out Swinger,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"Finger Food,  North Indian,  Chinese",3.8,73,1600,23.59592278939001
Petoo,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Street Food,  Fast Food,  Chaat,  Biryani",1.0,1,600,1.0
Cheesiaano Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Italian,  Pizza",4.2,38,700,22.198689319221444
Scotchman,"Royalton Hotel,Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,34,2500,21.54298867116886
Spice Garden,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Continental",4.0,85,700,25.70505901880839
Amnesia Lounge and Bar,"Jaya Chambers,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American",4.0,365,1200,34.06279935313617
Vintage Restaurant And Bar,"Nallakunta, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",4.0,10,1000,13.83772647454919
The Living Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Desserts,  Bakery and Confectionary,  Coffee",4.1,7,1200,12.299999999999999
Chubby Cho,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Chinese,  Seafood,  Sushi",4.5,109,2500,30.51611871086097
Hashi,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Japanese,  Asian",4.4,204,1000,33.789712437823965
Coco's Bar & Grill,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,106,1800,28.314161342884816
